accession,spec count,peptide num,avg int m/z_126.127725,avg int m/z_127.12476,avg int m/z_128.134433,avg int m/z_129.131468,avg int m/z_130.141141,avg int m/z_131.138176,norm int m/z_126.127725,norm int m/z_127.12476,norm int m/z_128.134433,norm int m/z_129.131468,norm int m/z_130.141141,norm int m/z_131.138176,description
P05413,10,10,3559961.9,3683825.4,2818459.3,5093517.8,3322582.9,3689786.1,3424662.4,3766079.1,2932899.5,4770086,3536309.3,3638888.2,"Fatty acid-binding protein, heart OS=Homo sapiens OX=9606 GN=FABP3 PE=1 SV=4"
Q99623,18,18,1109117.33,1115898.94,1070261.22,1202386.83,1090922,1113437.56,1066964.06,1140814.78,1113717.56,1126036.44,1161095.72,1098078.22,Prohibitin-2 OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=2
O14949,8,8,1143546.5,965256.5,1050932.88,1043745.25,976855.88,1079796.25,1100084.75,986808.62,1093604.38,977468.5,1039692.25,1064900.88,Cytochrome b-c1 complex subunit 8 OS=Homo sapiens OX=9606 GN=UQCRQ PE=1 SV=4
P04792,14,14,780585.07,922816.57,820991.5,983229,829304.64,987333.57,750917.86,943421.14,854326.71,920794.93,882649.71,973713.57,Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2
P99999,6,6,938216.67,1077157.83,796205.67,1095297.17,1078159.5,906163.17,902558.5,1101208.5,828534.17,1025746.83,1147512,893663,Cytochrome c OS=Homo sapiens OX=9606 GN=CYCS PE=1 SV=2
P07951,20,20,653549.7,697140.85,611844.4,632385,494486.7,552251.55,628710.55,712706.45,636687.35,592228.8,526294.3,544633.2,Tropomyosin beta chain OS=Homo sapiens OX=9606 GN=TPM2 PE=1 SV=1
O43678,4,4,524446.75,494377,488034.5,454723.5,417900.25,458942.75,504514.5,505415.25,507850.25,425848.75,444781.5,452611.5,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 OS=Homo sapiens OX=9606 GN=NDUFA2 PE=1 SV=3
Q99880,10,10,514340,493675.9,494472.2,446556.9,469229.1,528647.6,494791.5,504698.3,514549.4,418200.5,499411.7,521354.9,Histone H2B type 1-L OS=Homo sapiens OX=9606 GN=H2BC13 PE=1 SV=3
Q8N257,11,11,428246.27,412421.45,414057.18,373658,391443.73,440679.73,411969.82,421629.55,430869.18,349930.64,416622.82,434600.45,Histone H2B type 3-B OS=Homo sapiens OX=9606 GN=H2BU1 PE=1 SV=3
O60814,10,10,525734.4,503254.8,504294.3,451240.1,477074.4,539023.8,505752.9,514491.1,524770.3,422586.4,507761.7,531588,Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=H2BC12 PE=1 SV=3
Q99877,10,10,525734.4,503254.8,504294.3,451240.1,477074.4,539023.8,505752.9,514491.1,524770.3,422586.4,507761.7,531588,Histone H2B type 1-N OS=Homo sapiens OX=9606 GN=H2BC15 PE=1 SV=3
Q93079,10,10,525734.4,503254.8,504294.3,451240.1,477074.4,539023.8,505752.9,514491.1,524770.3,422586.4,507761.7,531588,Histone H2B type 1-H OS=Homo sapiens OX=9606 GN=H2BC9 PE=1 SV=3
Q5QNW6,10,10,525734.4,503254.8,504294.3,451240.1,477074.4,539023.8,505752.9,514491.1,524770.3,422586.4,507761.7,531588,Histone H2B type 2-F OS=Homo sapiens OX=9606 GN=H2BC18 PE=1 SV=3
Q16778,10,10,525734.4,503254.8,504294.3,451240.1,477074.4,539023.8,505752.9,514491.1,524770.3,422586.4,507761.7,531588,Histone H2B type 2-E OS=Homo sapiens OX=9606 GN=H2BC21 PE=1 SV=3
